Year,Month,Day,Hour,MOL
2018,2,2,21,411.9
2018,2,2,22,163.4
2018,2,2,23,275.9
2018,2,3,0,162.6
2018,2,3,1,275.0
2018,2,3,2,162.3
2018,2,3,3,128.4
2018,2,3,4,274.7
2018,2,3,5,223.2
2018,2,3,6,162.3
2018,2,3,7,14.7
2018,2,3,8,9.0
2018,2,3,9,-598.8
2018,2,3,10,-149.3
2018,2,3,11,-115.9
2018,2,3,12,-51.0
2018,2,3,13,-199.1
2018,2,3,14,-209.0
2018,2,3,15,763.1
2018,2,3,16,15.0
2018,2,3,17,54.5
2018,2,3,18,223.6
2018,2,3,19,189.3
2018,2,3,20,105.6
2018,2,3,21,105.5
2018,2,3,22,189.3
2018,2,3,23,470.9
2018,2,4,0,470.5
2018,2,4,1,797.6
2018,2,4,2,915.7
2018,2,4,3,1185.9
2018,2,4,4,796.1
2018,2,4,5,795.5
2018,2,4,6,404.0
2018,2,4,7,566.5
2018,2,4,8,377.3
2018,2,4,9,-651.2
2018,2,4,10,-3545.7
2018,2,4,11,-1367.8
2018,2,4,12,-2420.7
2018,2,4,13,-1395.4
2018,2,4,14,-958.2
2018,2,4,15,-8888.0
2018,2,4,16,850.0
2018,2,4,17,798.2
2018,2,4,18,287.7
2018,2,4,19,213.1
2018,2,4,20,358.7
2018,2,4,21,403.0
2018,2,4,22,334.6
2018,2,4,23,747.5
2018,2,5,0,467.7
2018,2,5,1,565.4
2018,2,5,2,565.6
2018,2,5,3,334.9
2018,2,5,4,272.1
2018,2,5,5,111.5
2018,2,5,6,180.0
2018,2,5,7,111.4
2018,2,5,8,415.0
2018,2,5,9,-1413.3
2018,2,5,10,-1133.3
2018,2,5,11,-1341.5
2018,2,5,12,-808.8
2018,2,5,13,-2008.3
2018,2,5,14,-2495.6
2018,2,5,15,8888.0
2018,2,5,16,995.7
2018,2,5,17,751.3
2018,2,5,18,470.5
2018,2,5,19,336.6
2018,2,5,20,273.8
2018,2,5,21,53.8
2018,2,5,22,161.2
2018,2,5,23,161.1
2018,2,6,0,53.6
2018,2,6,1,160.6
2018,2,6,2,160.7
2018,2,6,3,272.4
2018,2,6,4,160.7
2018,2,6,5,272.0
2018,2,6,6,272.0
2018,2,6,7,160.6
2018,2,6,8,359.8
2018,2,6,9,-1316.9
2018,2,6,10,-888.3
2018,2,6,11,-617.3
2018,2,6,12,-609.4
2018,2,6,13,-346.2
2018,2,6,14,-1166.8
2018,2,6,15,1719.9
2018,2,6,16,345.1
2018,2,6,17,56.8
2018,2,6,18,51.2
2018,2,6,19,28.7
2018,2,6,20,28.5
2018,2,6,21,126.8
2018,2,6,22,28.8
2018,2,6,23,126.5
2018,2,7,0,187.1
2018,2,7,1,126.7
2018,2,7,2,220.7
2018,2,7,3,406.2
2018,2,7,4,333.5
2018,2,7,5,285.7
2018,2,7,6,126.0
2018,2,7,7,125.7
2018,2,7,8,265.6
2018,2,7,9,4689.6
2018,2,7,10,-4058.7
2018,2,7,11,-438.6
2018,2,7,12,-293.8
2018,2,7,13,-226.4
2018,2,7,14,-214.2
2018,2,7,15,-8015.1
2018,2,7,16,65.0
2018,2,7,17,127.6
2018,2,7,18,53.7
2018,2,7,19,16.0
2018,2,7,20,16.0
2018,2,7,21,160.8
2018,2,7,22,76.2
2018,2,7,23,50.3
2018,2,8,0,
2018,2,8,1,
2018,2,8,2,
2018,2,8,3,
2018,2,8,4,
2018,2,8,5,
2018,2,8,6,276.1
2018,2,8,7,179.0
2018,2,8,8,468.2
2018,2,8,9,-1935.3
2018,2,8,10,-1093.6
2018,2,8,11,-457.8
2018,2,8,12,-291.3
2018,2,8,13,-1708.6
2018,2,8,14,-2415.9
2018,2,8,15,-8888.0
2018,2,8,16,1147.8
2018,2,8,17,914.0
2018,2,8,18,806.7
2018,2,8,19,1693.4
2018,2,8,20,2153.4
2018,2,8,21,1691.0
2018,2,8,22,1000.0
2018,2,8,23,967.0
2018,2,9,0,1507.9
2018,2,9,1,1684.2
2018,2,9,2,2139.1
2018,2,9,3,2667.7
2018,2,9,4,998.1
2018,2,9,5,545.6
2018,2,9,6,904.2
2018,2,9,7,626.3
2018,2,9,8,2175.3
2018,2,9,9,-6716.6
2018,2,9,10,-2533.5
2018,2,9,11,-4425.0
2018,2,9,12,-3400.6
2018,2,9,13,-2440.1
2018,2,9,14,-4903.9
2018,2,9,15,-8888.0
2018,2,9,16,1692.4
2018,2,9,17,
2018,2,9,18,
2018,2,9,19,
2018,2,9,20,
2018,2,9,21,
2018,2,9,22,
2018,2,9,23,
2018,2,10,0,
2018,2,10,1,
2018,2,10,2,
2018,2,10,3,
2018,2,10,4,20.4
2018,2,10,5,218.5
2018,2,10,6,219.3
2018,2,10,7,401.7
2018,2,10,8,1360.6
2018,2,10,9,-8888.0
2018,2,10,10,-2067.1
2018,2,10,11,-2163.3
2018,2,10,12,-1056.9
2018,2,10,13,-1619.1
2018,2,10,14,-4637.1
2018,2,10,15,-8888.0
2018,2,10,16,1815.0
2018,2,10,17,2135.0
2018,2,10,18,1517.4
2018,2,10,19,973.5
2018,2,10,20,1209.0
2018,2,10,21,1281.7
2018,2,10,22,3253.3
2018,2,10,23,3936.0
2018,2,11,0,4882.8
2018,2,11,1,3941.2
2018,2,11,2,1667.3
2018,2,11,3,2650.5
2018,2,11,4,3259.0
2018,2,11,5,2126.8
2018,2,11,6,2128.6
2018,2,11,7,
2018,2,11,8,
2018,2,11,9,
2018,2,11,10,
2018,2,11,11,-4519.2
2018,2,11,12,-3991.5
2018,2,11,13,-5733.0
2018,2,11,14,-2742.6
2018,2,11,15,-8492.8
2018,2,11,16,905.6
2018,2,11,17,2672.6
2018,2,11,18,3287.7
2018,2,11,19,
2018,2,11,20,
2018,2,11,21,
2018,2,11,22,
2018,2,11,23,
2018,2,12,0,
2018,2,12,1,
2018,2,12,2,
2018,2,12,3,
2018,2,12,4,
2018,2,12,5,
2018,2,12,6,
2018,2,12,7,
2018,2,12,8,
2018,2,12,9,
2018,2,12,10,-345.0
2018,2,12,11,-986.4
2018,2,12,12,-941.6
2018,2,12,13,-3153.7
2018,2,12,14,-639.1
2018,2,12,15,-4899.8
2018,2,12,16,1027.2
2018,2,12,17,202.8
2018,2,12,18,273.7
2018,2,12,19,439.9
2018,2,12,20,439.6
2018,2,12,21,910.6
2018,2,12,22,1297.3
2018,2,12,23,285.9
2018,2,13,0,274.5
2018,2,13,1,437.0
2018,2,13,2,1290.8
2018,2,13,3,903.6
2018,2,13,4,2660.8
2018,2,13,5,2657.8
2018,2,13,6,3954.9
2018,2,13,7,5795.6
2018,2,13,8,8888.0
2018,2,13,9,-8419.8
